GBI Store Code,GBI Store Name,GBI Store Address,Ownership,GBI Store Type,GBI Store Region,GBI Store Sub Region,GBI Store Province Municipality,Cluster,GBI Store Email Add,GBI SBU
600480,CONCEPCION MALABON,"General Luna St., Concepcion, Malabon City",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,MALABON,Cluster 1,store.600480@goldilocks.com,Store
115017,"CONCEPCION,TAR","A. Dizon St., San Nicholas Concepcion, Tarlac",SUBSIDIARIES,Kiosk,LUZON,CENTRAL LUZON,CONCEPCION,Cluster 2,store.115017@goldilocks.com,Store
107099,COTABATO,"Jose Lim corner Makakua Streets , Cotabato City",FRANCHISE,Bakeshop,MINDANAO,SOUTHERN MINDANAO,COTABATO CITY,Cluster 4,store.107099@goldilocks.com,Store
107154,CSI BONUAN,"Stall No.4 CSI Bonuan, Dagupan, Pangasinan",FRANCHISE,Cart,LUZON,CENTRAL LUZON,DAGUPAN CITY,Cluster 2,store.107154@goldilocks.com,Store
119612,CSI IBA,"GF CSI Warehouse Vlub-Iba, Iba Zambales",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,IBA,Cluster 2,store.119612@goldilocks.com,Store
113266,CSI LA UNION,"Ground Floor, CSI The City Maill, Biday St., San Fernando La Union",FRANCHISE,Full Store,LUZON,NORTHERN LUZON,"SAN FERNANDO, CITY OF",Cluster 2,store.113266@goldilocks.com,Store
113340,CSI LINGAYEN,"G/F CSI Mall, Solis St., Poblacion Lingayen, Pangasinan",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,LINGAYEN,Cluster 2,store.113340@goldilocks.com,Store
113292,CSI MANGALDAN,"G/F CSI Warehouse Club, Mangaldan, Pangasinan",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,MANGALDAN,Cluster 2,store.113292@goldilocks.com,Store
107146,CSI MANGATAREM PANGASINAN,"Brgy. Caoile Olegario, Mangatarem Pangasinan",FRANCHISE,Cart,LUZON,NORTHERN LUZON,MANGATAREM,Cluster 2,store.107146@goldilocks.com,Store
113342,CSI POZORRUBIO,"CSI Building, Poblacion, Pozorrubio, Pangasinan 2435",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,POZORRUBIO,Cluster 2,store.113342@goldilocks.com,Store
113335,CSI ROSALES,"Gen. Luna St., Zone 3 Rosales, Pangasinan",FRANCHISE,Cart,LUZON,NORTHERN LUZON,ROSALES,Cluster 2,store.113335@goldilocks.com,Store
113337,CSI TAYUG PANGASINAN,"G/F CSI MALL, BRGY. TRENCHERA, TAYUG PANGASINAN",FRANCHISE,Kiosk,LUZON,NORTHERN LUZON,TAYUG,Cluster 2,store.113337@goldilocks.com,Store
105226,CULASI,"Centro Poblacion, Culasi Antique",FRANCHISE,Kiosk,VISAYAS,WESTERN VISAYAS,CULASI,Cluster 4,store.105226@goldilocks.com,Store
613,DAAN BANTAYAN STORE ,"Daan Bantayan, Poblacion, Daanbantayan Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,DAANBANTAYAN,Cluster 4,store.613@goldilocks.com,Store
119775,DAET BICOL - SU,"MYC bldg-1, F. Pimentel ave.,brgy 8 Daet Camarines Norte",SUBSIDIARIES,Kiosk,LUZON,SOUTHERN LUZON,DAET,Cluster 3,store.119775@goldilocks.com,Store
107015,DAGUPAN,"G/F CSI Market square Bldg. A.B. Fernandez st, CSI Bldg., Dagupan City, Pangasinan",FRANCHISE,Bakeshop,LUZON,NORTHERN LUZON,DAGUPAN CITY,Cluster 2,store.107015@goldilocks.com,Store
115144,DALAGUETE,"Villaruel Bldg, Legaspi St., Poblacion, Dalaguete, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,DALAGUETE,Cluster 4,store.115144@goldilocks.com,Store
TM0064,DALANDANAN  TM,Km 16 Mac Arthur Highway Brgy. Malanday District 1 valenzuela City,FRANCHISE,Test Market,LUZON,MEGA NORTH,,Cluster 1,No E-mail Account,Store
105207,DALIPE ANTIQUE,EGMEDIO NIETES AVE SAN JOSE DALIPE ANTIQUE,FRANCHISE,Bakeshop,VISAYAS,WESTERN VISAYAS,SAN JOSE,Cluster 4,store.105207@goldilocks.com,Store
119719,DAMOSA - SU,Damosa Land Mamay Road Lanang Davao City Philippines,SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119719@goldilocks.com,Store
115119,DANAO CEBU,"F. Ralota St., Poblacion Danao City Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,DANAO CITY,Cluster 4,store.115119@goldilocks.com,Store
114019,DASMA BAYAN,CM Plaza Bldg. Don Placido Campos St. Dasmarinas City,FRANCHISE,Kiosk,LUZON,SOUTHERN LUZON,DASMARINAS,Cluster 3,store.114019@goldilocks.com,Store
119731,DIGOS RIZAL - SU,Ortiz Farm Bldg. Rizal Ave. Zone II Digos City Davao Del Sur,SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,"DIGOS, CITY OF",Cluster 4,store.119731@goldilocks.com,Store
119329,"DINALUPIHAN, BATAAN","San Ramon Dinalupihan, Bataan",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,ORANI,Cluster 2,store.119329@goldilocks.com,Store
119807,DIPOLOG I,"Quezon Avenue, Miputak, Dipolog City, Zamboanga del Norte 7100",FRANCHISE,Bakeshop,MINDANAO,NORTHERN MINDANAO,,Cluster 4,store.119807@goldilocks.com,Store
116283,DON ANTONIO HEIGHTS,"Unit 2 Lot 1A Blk. 11, Don Antonio Drive, Brgy. Holy Spirit, Quezon City",FRANCHISE,Kiosk,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.116283@goldilocks.com,Store
115131,DON BOSCO PUNTA,"F. Llamas St., Punta Princesa, Cebu City",SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115131@goldilocks.com,Store
104038,DUMAGUETE,"Perdices Street corner San Jose Street, Dumaguete City, Negros Oriental",FRANCHISE,Bakeshop,VISAYAS,CENTRAL VISAYAS,DUMAGUETE CITY,Cluster 4,store.104038@goldilocks.com,Store
600372,EASTROAD ARCADE,"G/F Manila East road corner Cabrera rd., Tikling Taytay Rizal",COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,TAYTAY,Cluster 3,store.600372@goldilocks.com,Store
600393,EASTWOOD LE GRAND,"Ground Floor - Unit LGR-4, Eastwood Le Grand Tower 1, Eastwood City, Cyberpark, 188 E. Rodriguez Ave., Bagumbayan, Quezon City ",COMPANY OWNED,Bakeshop,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600393@goldilocks.com,Store
119718,ECOLAND - SU,"Mindanao Press Club Bldg. Ecoland Terminal, Davao City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119718@goldilocks.com,Store
102212,ESCALANTE - SU,"NATIONAL HIGHWAY PUROK JASMINE SOUTH AVE. ESCALANTE CITY , NEGROS OCCIDENTAL",SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ESCALANTE CITY,Cluster 4,store.102212@goldilocks.com,Store
600013,ESPAÅƒA,G/F Miracle III Building M.F. Jhocson St. corner EspaÅ„a Boulevard Sampaloc Manila ,COMPANY OWNED,Full Store,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,store.600013@goldilocks.com,Store
102208,ESTANCIA - SU,"E. Reyes Poblacion zone II, Estancia Iloilo",SUBSIDIARIES,Kiosk,VISAYAS,WESTERN VISAYAS,ESTANCIA,Cluster 4,store.102208@goldilocks.com,Store
600212,ETON CENTRIS STN.,"2/F SF 29 Eton Centris Station, Edsa corner Quezon Avenue, Quezon City",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600212@goldilocks.com,Store
600414,EVANGELISTA BANGKAL,"1647 Evangelista St., Bangkal, Makati City",COMPANY OWNED,Kiosk,LUZON,MEGA SOUTH,"MAKATI, CITY OF",Cluster 1,store.600414@goldilocks.com,Store
116277,EVER COMMONWEALTH,"Lower G/F Ever Commonwealth, Commonwealth Ave., Q. C.",FRANCHISE,Full Store,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.116277@goldilocks.com,Store
120107,FAIRVIEW CENTERMALL 2,"G/Flr. Fairview Center Mall,  Don Mariano Marcos Ave,  corner Regalado Avenue Fairview, Quezon City",FRANCHISE,Bakeshop,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.120107@goldilocks.com,Store
106048,FALCON STA. CRUZ LAGUNA,"Falcon st., Poblacion Sta. Cruz Laguna",FRANCHISE,Kiosk,LUZON,SOUTHERN LUZON,SANTA CRUZ,Cluster 3,store.106048@goldilocks.com,Store
600008,FARMERS,"G/F Farmers Plaza Araneta Center, Cubao, Quezon City",COMPANY OWNED,Bakeshop,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600008@goldilocks.com,Store
600243,FARMERS 2 NEW,"U-19 - 22 New Farmers Plaza Araneta Center, Quezon City",COMPANY OWNED,Full Store,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600243@goldilocks.com,Store
103040,FESTIVAL MALL,"G/F, Pixie Forest Entrance, Festival Suparmall, Alabang, Muntinlupa City",FRANCHISE,Full Store,LUZON,MEGA SOUTH,"MUNTINLUPA, CITY OF",Cluster 1,store.107031@goldilocks.com,Store
102114,FISHER MALL (Cart),"CT- 002 Fishermall Quezon Avenue corner Roosevelt Avenue, Quezon City",FRANCHISE,Bakeshop,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.102114@goldilocks.com,Store
102170,FISHERMALL MALABON,"1F-L19 Lots 2-10 Blk 47 PH-3-E2, Dagat-Dagatan, Longos, Malabon City",FRANCHISE,Bakeshop,LUZON,MEGA NORTH,MALABON,Cluster 1,store.102170@goldilocks.com,Store
116295,FLOODWAY CAINTA,848 blk. 30 lot 15 Kabisig floodway San Andres Cainta Rizal,FRANCHISE,Test Market,LUZON,MEGA NORTH,CAINTA,Cluster 1,store.116295@goldilocks.com,Store
109029,FLORIDA BLANCA,Nalus Commercial Bldg. San Jose St. Poblacion Florida Blanca Pampanga,FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,FLORIDA,Cluster 2,store.109029@goldilocks.com,Store
600317,FLYING V BULACAN,"Flying V. Gasoline station, Narra st., Sta. Clara Sta. Maria Bulacan",COMPANY OWNED,Bakeshop,LUZON,CENTRAL LUZON,SANTA MARIA,Cluster 2,store.600317@goldilocks.com,Store
115120,FOODA CONSOLACION,Fooda Saversmart Poblacion Oriental Consolacion Cebu,SUBSIDIARIES,Bakeshop,VISAYAS,CENTRAL VISAYAS,CONSOLACION,Cluster 4,store.115120@goldilocks.com,Store
115117,FOODA GUADALUPE,"V. Rama Avenue, Guadalupe, Cebu City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115117@goldilocks.com,Store
600472,FRISCO,"162-K Roosevelt Ave., San Francisco Del Monte, Quezon City",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600472@goldilocks.com,Store
113287,GAGALANGIN,"# 2683 Juan Luna  St. Gagalangin, Tondo , Manila",FRANCHISE,Kiosk,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,store.113287@goldilocks.com,Store
102209,GAISANO BALASAN - SU,"GF-01 Gaisano Capital Brgy. Mamhut Sur, Balasan Iloilo",SUBSIDIARIES,Kiosk,VISAYAS,WESTERN VISAYAS,ILOILO CITY,Cluster 4,store.102209@goldilocks.com,Store
115123,GAISANO BASAK MACTAN,Gaisano Grand Mall Basak Lapu Lapu City,SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,LAPU LAPU CITY,Cluster 4,store.115123@goldilocks.com,Store
119729,GAISANO BUHANGIN - SU,"Ground Flr BHN-GFS 55 & 56 Gaisano Grand Citygate Mall Buhangin, Cabantian cor Tigatto Road, Buhangin, Davao City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.119729@goldilocks.com,Store
119751,GAISANO BULUA - SU,"G/F, Gaisano Mall Bulua, Brgy. Bulua, Cagayan de Oro City, Misamis Oriental 9000",SUBSIDIARIES,Cart,MINDANAO,NORTHERN MINDANAO,CAGAYAN DE ORO CITY,Cluster 4,store.119751@goldilocks.com,Store
103206,GAISANO CALBAYOG,G/F Stall CBG-GFS-06,FRANCHISE,Kiosk,VISAYAS,EASTERN VISAYAS,CALBAYOG CITY,Cluster 4,store.103206@goldilocks.com,Store
115134,GAISANO CARCAR,"Gaisano Grand Awayan, Barangay Poblacion III, Carcar City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CARCAR CITY,Cluster 4,store.115134@goldilocks.com,Store
119747,GAISANO CDO - SU,"Corrales st., Cagayan de Oro City",SUBSIDIARIES,Bakeshop,MINDANAO,NORTHERN MINDANAO,CAGAYAN DE ORO CITY,Cluster 4,store.119747@goldilocks.com,Store
115135,GAISANO CORDOVA,Gaisano Grand Mall Bangbang Cordova Cebu,SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,CORDOVA,Cluster 4,store.115135@goldilocks.com,Store
115109,GAISANO COUNTRY MALL,"Unit 123 G/F Gaisano Country Mall, Banilad Road, Apas, Cebu City North, Cebu City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115109@goldilocks.com,Store
119685,GAISANO DUMANJUG,"Gaisano Grand Mall Dumanjug, Santander-Barili-Toledo Road, Brgy. Poblacion, Dumanjug, Cebu",SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,DUMANJUG,Cluster 4,store.119685@goldilocks.com,Store
119308,GAISANO FIESTA MALL,"Gaisano Fiesta Mall, Tabunok Cebu, City",SUBSIDIARIES,Bakeshop,VISAYAS,CENTRAL VISAYAS,"TALISAY, CITY OF",Cluster 4,store.119308@goldilocks.com,Store
115132,GAISANO GRAND CENTRO,"Gaisano Grand Mall A. Del Rosario St., Centro, Mandaue City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,MANDAUE CITY,Cluster 4,store.115132@goldilocks.com,Store
107163,GAISANO GRAND SARA,"Gaisano Grand Mall Sara, D.V. Salcedo St., Poblacion Market, Sara, Iloilo",FRANCHISE,Bakeshop,VISAYAS,WESTERN VISAYAS,SARA,Cluster 4,For Update,Store
115125,GAISANO GRAND TALAMBAN,"Ground Floor, Gaisano Grand Mall Talamban, Gov. Cuenco Ave. Nasipit Talamban, Cebu city",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115125@goldilocks.com,Store
102199,GAISANO ILOILO/LAPAZ - SU,GAISANO CITY MALL LUNA ST LAPAZ ILOILO CITY,SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ILOILO CITY,Cluster 4,store.102199@goldilocks.com,Store
102222,GAISANO KABANKALAN - SU,UGF GAISANO KABANKALAN TAN LORENZO EXT NATIONAL HIGHWAY KABANKALAN CITY NEGROSS OCCIDENTAL,SUBSIDIARIES,Bakeshop,VISAYAS,WESTERN VISAYAS,"KABANKALAN, CITY OF",Cluster 4,store.102222@goldilocks.com,Store
102190,GAISANO KALIBO - SU,GAISANO KALIBO ROXAS AVE EXT KALIBO AKLAN,SUBSIDIARIES,Bakeshop,VISAYAS,WESTERN VISAYAS,KALIBO,Cluster 4,store.102190@goldilocks.com,Store
115147,GAISANO LILOAN,Gaisano Grand Mall Poblacion Liloan Cebu,SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,LILOAN,Cluster 4,store.115147@goldilocks.com,Store
115116,GAISANO MACTAN,2/F Gaisano Mactan Pajo Lapu Lapu City,SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,LAPU LAPU CITY,Cluster 4,store.115116@goldilocks.com,Store
104020,GAISANO MALL DAVAO,"G/F Gaisano Mall, J.P. Laurel Avenue, Davao City",FRANCHISE,Bakeshop,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.104020@goldilocks.com,Store
119733,GAISANO MALL DIGOS QUIRINO,"UGF-23 Gaisano Mall of Digos, Quirino, Tres de Mayo, Digos City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,,Cluster 4,store.119733@goldilocks.com,Store
119711,GAISANO MALL TAGUM - SU,"G/F Gaisano Mall Of Tagum, Magugpo East, Tagum City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,"TAGUM, CITY OF",Cluster 4,store.119711@goldilocks.com,Store
119696,GAISANO MAMBALING,GRND. FLR GAISANO MAMBALING CEBU CITY,SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.119696@goldilocks.com,Store
113379,GAISANO MASBATE," LGF-09 Gaisano Capital Masbate, Quezon St., Crossing, Masbate City",FRANCHISE,Kiosk,VISAYAS,CENTRAL VISAYAS,"MASBATE, CITY OF",Cluster 4,store.113379@goldilocks.com,Store
115127,GAISANO MINGLANILLA,"Upper Ground Floor, Gaisano Grand Mall of Minglanilla, Poblacion, Minglanilla, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115127@goldilocks.com,Store
119688,GAISANO MOALBOAL,"Gaisano Grand Mall of Moalboal, National Highway, Moalboal, Cebu",SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,MOALBOAL,Cluster 4,store.119688@goldilocks.com,Store
101156,GAISANO NORTHGATE BASAK,"Gaisano Northgate Mall, Basak Mandaue City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,,Cluster 4,No E-mail Account,Store
102201,GAISANO OTON - SU,"J.C. Zulueta st., corner Benedicto st., Oton Iloilo",SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ILOILO CITY,Cluster 4,store.102201@goldilocks.com,Store
119713,GAISANO PANABO 2 - SU,"Gaisano Grand City Mall, Panabo City",SUBSIDIARIES,Kiosk,MINDANAO,SOUTHERN MINDANAO,"PANABO, CITY OF",Cluster 4,store.119713@goldilocks.com,Store
102207,GAISANO PASSI - SU,"Gaisano Capital Passi, Simeon Aguilar St.,Passi City",SUBSIDIARIES,Bakeshop,VISAYAS,WESTERN VISAYAS,"PASSI, CITY OF",Cluster 4,store.102207@goldilocks.com,Store
119737,GAISANO POLOMOLOK COTABATO TM,"Gaisano Grand Mall Polomolok (POL- GFS-18) National Highway Brg. Magsaysay, Polomolok, South Cotabato",SUBSIDIARIES,Test Market,MINDANAO,SOUTHERN MINDANAO,,Cluster 4,store.119737@goldilocks.com,Store
119752,GAISANO PUERTO - SU,"Unit 1 & 2, G/F, Gaisano Mall Puerto, Brgy. Puerto, Cagayan de Oro City, Misamis Oriental",SUBSIDIARIES,Cart,MINDANAO,NORTHERN MINDANAO,CAGAYAN DE ORO CITY,Cluster 4,store.119752@goldilocks.com,Store
102196,GAISANO ROXAS BOULEVARD,"LGF Gaisano Mall Arnold Blvd., Roxas City, Capiz",SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ROXAS CITY,Cluster 4,store.102196@goldilocks.com,Store
102195,GAISANO ROXAS MARKET - SU,GROUND FLOOR GAISANO MARKET PLACE SAN ROQUE EXT ROXAS CITY CAPIZ,SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ROXAS CITY,Cluster 4,store.102195@goldilocks.com,Store
119687,GAISANO SOUTH NEW,"Ground Floor, Gaisano Capital South, Colon Street corner Leon Kilat Street, Cebu City, Cebu",SUBSIDIARIES,Cart,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.119687@goldilocks.com,Store
119684,GAISANO SRP,"GF, Gaisano Capital SRP, Cebu South Coastal Road corner V. H. Garces, Inayawan, Cebu City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,TALISAY,Cluster 4,store.119684@goldilocks.com,Store
116274,GAISANO SURIGAO,"Gaisano Capital Surigao, Km. 4 Bgy. Luna Surigao City",FRANCHISE,Kiosk,MINDANAO,NORTHERN MINDANAO,SURIGAO CITY,Cluster 4,store.116274@goldilocks.com,Store
119710,GAISANO TAGUM/APOKON - SU,"G/F Gaisano Mall of Tagum Apokon, Tagum City",SUBSIDIARIES,Cart,MINDANAO,SOUTHERN MINDANAO,"TAGUM, CITY OF",Cluster 4,store.119710@goldilocks.com,Store
115124,"GAISANO TISA, CEBU","Gaisano Capital Tisa, Labangon, Cebu City",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,CEBU CITY,Cluster 4,store.115124@goldilocks.com,Store
119690,GAISANO TOLEDO,"Gaisano Toledo, Antonio Y De Pio. St., Toledo City, Cebu",SUBSIDIARIES,Kiosk,VISAYAS,CENTRAL VISAYAS,TOLEDO CITY,Cluster 4,store.119690@goldilocks.com,Store
116285,GAISANO TORIL 2,"Lower GF Gaisano Mall, Toril, Davao City",FRANCHISE,Cart,MINDANAO,SOUTHERN MINDANAO,DAVAO CITY,Cluster 4,store.116285@goldilocks.com,Store
115042,GAPAN BAYAN,"Gapan, Nueva Ecija",SUBSIDIARIES,Bakeshop,LUZON,CENTRAL LUZON,GAPAN,Cluster 2,store.115042@goldilocks.com,Store
102102,"GASAK, MALABON","39 Womens Club Street, Barangay Flores, Malabon City",FRANCHISE,Kiosk,LUZON,MEGA NORTH,MALABON,Cluster 1,store.102102@goldilocks.com,Store
600410,GATCHALIAN PARAÃ‘AQUE,"SPACE 1, FROUND FLR., STI BUILDING, DR. A. SANTOS AVENUE, SAN DIONISIO, PARAÃ‘AQUE CITY",COMPANY OWNED,Full Store,LUZON,MEGA SOUTH,"PARANAQUE, CITY OF",Cluster 1,store.600410@goldilocks.com,Store
120121,GATE 3 TAGUIG,"Juliano Avenue, Phase 3 AFPOVAI, Taguig City",FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,TAGUIG,Cluster 1,For Update,Store
600128,GATEWAY MALL,"level 2 GM02020R, GM02021R, GM02022R",COMPANY OWNED,Bakeshop,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,store.600128@goldilocks.com,Store
600284,GEN.T DE LEON,"G/F MTM Bldg. #4026 Old Santolan Road Gen. T. De Leon, Valenzuela City",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,"VALENZUELA, CITY OF",Cluster 1,store.600284@goldilocks.com,Store
600059,GENERAL TRIAS,G/F Waltermart Cen. Gen. Trias Cavite,COMPANY OWNED,Bakeshop,LUZON,SOUTHERN LUZON,GENERAL TRIAS,Cluster 3,store.600059@goldilocks.com,Store
115057,GERONA TARLAC,"DMJT Commercial Bldg., Poblacion 1, Gerona Tarlac",SUBSIDIARIES,Kiosk,LUZON,CENTRAL LUZON,"TARLAC, CITY OF",Cluster 2,store.115057@goldilocks.com,Store
116209,GINGOOG,"Power Fuel Gas Station, National Highway Cor. Don Graciano St., Gingoog City, Misamis Oriental",FRANCHISE,Cart,MINDANAO,NORTHERN MINDANAO,CAGAYAN DE ORO CITY,Cluster 4,store.116209@goldilocks.com,Store
110134,"GMA,CAVITE","G/F Fortaleza Bldg. ,Gov. Drive , Bulihan Silang Cavite",FRANCHISE,Bakeshop,LUZON,SOUTHERN LUZON,SILANG,Cluster 3,store.110134@goldilocks.com,Store
600489,GOLDILOCKS ON WHEELS 1,"G/F Marc square commercial bldg., Rizal avenue, brgy San Juan Taytay Rizal	",COMPANY OWNED,Kiosk,LUZON,SOUTHERN LUZON,TAYTAY,Cluster 3,For Update,Store
600492,GOLDILOCKS PETRON NLEX,"Petron Express Center 1, KM. 23, NLEX North bound, Brgy. Lias, Marilao, Bulacan",COMPANY OWNED,Kiosk,LUZON,CENTRAL LUZON,MARILAO,Cluster 2,For Update,Store
600316,GOOD EARTH CARRIEDO,"G/F-17 Good Earth Plaza, 447 Rizal ave., corner Bustos st., Sta. Cruz Manila",COMPANY OWNED,Cart,LUZON,MEGA SOUTH,"MANILA, CITY OF",Cluster 1,store.600316@goldilocks.com,Store
600495,GOW2 - PETRON CONGRESSIONAL,"Petron Congressional Ave. corner Virginia St., Quezon City",COMPANY OWNED,Kiosk,LUZON,MEGA NORTH,QUEZON CITY,Cluster 1,For Update,Store
600018,GRANDMALL,"Ground Level Bldg. 111, Sta. Lucia East Grandmall Marcos Highway, Cor. Felix Ave., Cainta Rizal",COMPANY OWNED,Full Store,LUZON,SOUTHERN LUZON,CAINTA,Cluster 3,store.600018@goldilocks.com,Store
101111,GREENHILLS,"Unit G - 102 Greenlanes Arcade, Greenhills Shopping Center, San Juan",FRANCHISE,Bakeshop,LUZON,MEGA SOUTH,SAN JUAN,Cluster 1,store.101111@goldilocks.com,Store
102205,GT PLAZA ILOILO - SU,"Unit 102, GT Plaza Mall, M.H. Del Pilar Street, Molo, Iloilo City",SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ILOILO CITY,Cluster 4,store.102205@goldilocks.com,Store
102229,GT TOWN CENTER PAVIA,"Brgy. Ungka II, Pavia Ilo-ilo	",SUBSIDIARIES,Cart,VISAYAS,WESTERN VISAYAS,ILOILO CITY,Cluster 4,For Update,Store
600190,GUAGUA PAMPANGA,"1st Floor Afftic Bldg. Plaza Burgos, Guagua Pampanga",COMPANY OWNED,Kiosk,LUZON,CENTRAL LUZON,GUAGUA,Cluster 2,store.600190@goldilocks.com,Store
109032,GUAGUA TOWN CENTER,"stall 16 Guagua Town Center, San Matias Guagua Pampanga",FRANCHISE,Cart,LUZON,CENTRAL LUZON,GUAGUA,Cluster 2,store.109032@goldilocks.com,Store
102202,GUIMARAS - SU,"San Miguel, Jordan, Guimaras",SUBSIDIARIES,Kiosk,VISAYAS,WESTERN VISAYAS,JORDAN,Cluster 4,store.102202@goldilocks.com,Store
115056,GUIMBA N.E (New),"CALTEX Gasoline Station, Poblacion, Guimba, Nueva Ejica",SUBSIDIARIES,Kiosk,LUZON,CENTRAL LUZON,GUIMBA,Cluster 2,store.115056@goldilocks.com,Store
119771,"GUMACA, QUEZON - SU",111 A. Bonifacio St. Guamca Quezon,SUBSIDIARIES,Kiosk,LUZON,SOUTHERN LUZON,GUMACA,Cluster 3,store.119771@goldilocks.com,Store
101055,"HAGONOY, BULACAN","G/F Puso ng Hagonoy Mall Plaza, Poblacion, Hagonoy, Bulacan",FRANCHISE,Kiosk,LUZON,CENTRAL LUZON,HAGONOY,Cluster 2,store.101055@goldilocks.com,Store
116446,HARMONY HILLS BULACAN,"B59 L30 Lucas Choa Ave., Harmony Hills I, Muzon, SJDM, Bulacan",FRANCHISE,Test Market,LUZON,CENTRAL LUZON,"SAN JOSE DEL MONTE, CITY OF",Cluster 2,store.116446@goldilocks.com,Store
106071,HILONGOS LEYTE,"Villejo Building, Capt. Flordilid St. Corner RV. Fulache st.  Baranggay Central, Poblacion, Hilongos Leyte",FRANCHISE,Bakeshop,VISAYAS,EASTERN VISAYAS,HILONGOS,Cluster 4,No E-mail Account,Store
600136,HOME PLUS,"G/F StArmall Las PiÅ„as Annex, Brgy. Pampalona 3, Las PiÅ„as City",COMPANY OWNED,Kiosk,LUZON,MEGA SOUTH,"LAS PIÃ‘AS, CITY OF",Cluster 1,store.600136@goldilocks.com,Store
600361,HYPERMARKET BALAGTAS BATANGAS,"SM Hypermarket Balagtas, San Jose Ibaan Batangas rd, Batangas City",COMPANY OWNED,Cart,LUZON,SOUTHERN LUZON,BATANGAS CITY,Cluster 3,store.600361@goldilocks.com,Store
